title,soundex,metaphone,nysiis,match_rating_codex
jan jagran times,J522,JN JKRN TMS,JAN JAGRAN TAN,JN TMS
jagran city plus,J265,JKRN ST PLS,JAGRAN CATY PL,JGRPLS
sampurna jagran,S516,SMPRN JKRN,SANPARNA JAGRAN,SMPGRN
dainik jagran,D522,TNK JKRN,DANAC JAGRAN,DNKGRN
vishwa jagran,V222,FXW JKRN,VASWA JAGRAN,VSHGRN
kishan jagran,K252,KXN JKRN,CASAN JAGRAN,KSHGRN
dev jagran news,D122,TF JKRN NS,DAF JAGRAN NAE,DV NWS
dainik jagran rashtriya sanskaran,D522,TNK JKRN RXTRY SNSKRN,DANAC JAGRAN RASTRAYA SANSCARAN,DNKKRN
jan jagran,J522,JN JKRN,JAN JAGRAN,JN GRN
vidya jagran,V322,FTY JKRN,VADYA JAGRAN,VDYGRN
janhit jagran,J532,JNHT JKRN,JANAT JAGRAN,JNHGRN
uttrakhand jagran,U362,UTRKHNT JKRN,UTRACKAND JAGRAN,UTRGRN
jagran uday,J265,JKRN UT,JAGRAN ADY,JGR DY
sahakar jagran,S262,SHKR JKRN,SAHACAR JAGRAN,SHKGRN
krishi jagran,K622,KRX JKRN,CRASA JAGRAN,KRSGRN
m.a.c. krishi jagran,M226,MK KRX JKRN,MC CRASA JAGRAN,MC GRN
jagran sakhi,J265,JKRN SKH,JAGRAN SACK,JGRSKH
jat jagran,J322,JT JKRN,JAT JAGRAN,JT GRN
bharat jagran,B632,BHRT JKRN,BARAT JAGRAN,BHRGRN
gurjar jagran,G626,KRJR JKRN,GARJAR JAGRAN,GRJGRN
upbhoktha jagran,U123,UPBHK0 JKRN,UPBACTA JAGRAN,UPBGRN
jagran josh plus,J265,JKRN JX PLS,JAGRAN JAS PL,JGRPLS
jan jagran aandolan,J522,JN JKRN NTLN,JAN JAGRAN ANDALAN,JN DLN
kalash jagran,K422,KLX JKRN,CALAS JAGRAN,KLSGRN
shramik jagran,S652,XRMK JKRN,SRANAC JAGRAN,SHRGRN
jharkhand jagran,J625,JHRKHNT JKRN,JARCKAND JAGRAN,JHRGRN
jagran mantra,J265,JKRN MNTR,JAGRAN NANTR,JGRNTR
samajwadi jagran,S523,SMJWT JKRN,SANAJWADA JAGRAN,SMJGRN
vyavsai jagran,V122,FYFS JKRN,VYAVSA JAGRAN,VYVGRN
mahajagran,M226,MHJKRN,MAHAJAGRAN,MHJGRN
bahujan jagran,B252,BHJN JKRN,BAHAJAN JAGRAN,BHJGRN
jagran times,J265,JKRN TMS,JAGRAN TAN,JGRTMS
jagran junction,J265,JKRN JNKXN,JAGRAN JANCTAN,JGRCTN
pravasi jagran,P612,PRFS JKRN,PRAVASA JAGRAN,PRVGRN
sewak jagran,S222,SWK JKRN,SAEAC JAGRAN,SWKGRN
nandigiram jagran,N532,NNTJRM JKRN,NANDAGARAN JAGRAN,NNDGRN
prakhar jagran,P626,PRKHR JKRN,PRACKAR JAGRAN,PRKGRN
yug prabhat jagran,Y216,YK PRBHT JKRN,YAG PRABAT JAGRAN,YG GRN
jan jan jagran,J525,JN JN JKRN,JAN JAN JAGRAN,JN GRN
jagran law review,J265,JKRN L RF,JAGRAN LA RAFAE,JGRRVW
patrakar jagran,P362,PTRKR JKRN,PATRACAR JAGRAN,PTRGRN
manav jagran,M512,MNF JKRN,MANAV JAGRAN,MNVGRN
krisak jagran,K622,KRSK JKRN,CRASAC JAGRAN,KRSGRN
krishi jagran saptahik,K622,KRX JKRN SPTHK,CRASA JAGRAN SAPTAHAC,KRSTHK
vande jagran,V532,FNT JKRN,VANDA JAGRAN,VNDGRN
kaurav jagran,K612,KRF JKRN,CARAV JAGRAN,KRVGRN
shosit jagran,S232,XST JKRN,SASAT JAGRAN,SHSGRN
balmik jagran,B452,BLMK JKRN,BALNAC JAGRAN,BLMGRN
pradesh jagran,P632,PRTX JKRN,PRADAS JAGRAN,PRDGRN
aatm jagran,A352,TM JKRN,ATN JAGRAN,ATMGRN
khatik jagran,K322,KHTK JKRN,CATAC JAGRAN,KHTGRN
goswami jagran,G252,KSWM JKRN,GASWANA JAGRAN,GSWGRN
pal jagran,P422,PL JKRN,PAL JAGRAN,PL GRN
lok jagran,L222,LK JKRN,LAC JAGRAN,LK GRN
prakhar vaishya - prakhar rashtra vaishya jagran,P626,PRKHR FXY PRKHR RXTR FXY JKRN,PRACKAR VASYA PRACKAR RASTRA VASYA JAGRAN,PRKGRN
jabalpur jagran,J141,JBLPR JKRN,JABALPAR JAGRAN,JBLGRN
rashtriya jan jagran,R236,RXTRY JN JKRN,RASTRAYA JAN JAGRAN,RSHGRN
rastra jagran,R236,RSTR JKRN,RASTRA JAGRAN,RSTGRN
vidhhya jagran,V322,FTHY JKRN,VADHYA JAGRAN,VDHGRN
anchalik jagran,A524,ANXLK JKRN,ANCALAC JAGRAN,ANCGRN
shrutlekh jagran,S634,XRTLKH JKRN,SRATLACK JAGRAN,SHRGRN
vidisha jagran,V322,FTX JKRN,VADASA JAGRAN,VDSGRN
sanskruthika jagran,S526,SNSKR0K JKRN,SANSCRATACA JAGRAN,SNSGRN
aagaj jagran,A222,KJ JKRN,AGAJ JAGRAN,AGJGRN
adhyapak jagran,A312,ATHYPK JKRN,ADYAPAC JAGRAN,ADHGRN
punjabi jagran,P521,PNJB JKRN,PANJABA JAGRAN,PNJGRN
youth jagran,Y322,Y0 JKRN,YAT JAGRAN,YTHGRN
ajmer jagran,A256,AJMR JKRN,AJNAR JAGRAN,AJMGRN
jagran,J265,JKRN,JAGRAN,JGRN
vir bharat hadoti jagran,V616,FR BHRT HTT JKRN,VAR BARAT ADATA JAGRAN,VR GRN
amarjagran samrat,A562,AMRJKRN SMRT,ANARJAGRAN SANRAT,AMRMRT
adhimaik punjagran,A352,ATHMK PNJKRN,ADANAC PANJAGRAN,ADHGRN
chaitanya jagran,C352,XTNY JKRN,CATANYA JAGRAN,CHTGRN
maruthar jagran,M636,MR0R JKRN,MARATAR JAGRAN,MRTGRN
brahman jagran,B655,BRMN JKRN,BRANAN JAGRAN,BRHGRN
punarjagran sandesh,P562,PNRJKRN SNTX,PANARJAGRAN SAND,PNRDSH
jain jagran abhiyan,J522,JN JKRN ABHYN,JAN JAGRAN ABAYAN,JN HYN
sai jagran,S226,S JKRN,SA JAGRAN,S JGRN
audichya jagran,A322,ATXY JKRN,ADACYA JAGRAN,ADCGRN
jan jagran yogic sciences,J522,JN JKRN YJK SSNSS,JAN JAGRAN YAGAC SCANC,JN NCS
