title,metaphoneA,metaphoneB,ngramsA,ngramsB
jan jagran times,JNJKRNTMS,ANJKRNTMS,"[('J', 'N', 'J'), ('N', 'J', 'K'), ('J', 'K', 'R'), ('K', 'R', 'N'), ('R', 'N', 'T'), ('N', 'T', 'M'), ('T', 'M', 'S')]","[('A', 'N', 'J'), ('N', 'J', 'K'), ('J', 'K', 'R'), ('K', 'R', 'N'), ('R', 'N', 'T'), ('N', 'T', 'M'), ('T', 'M', 'S')]"
jagran city plus,JKRNSTPLS,AKRNSTPLS,"[('J', 'K', 'R'), ('K', 'R', 'N'), ('R', 'N', 'S'), ('N', 'S', 'T'), ('S', 'T', 'P'), ('T', 'P', 'L'), ('P', 'L', 'S')]","[('A', 'K', 'R'), ('K', 'R', 'N'), ('R', 'N', 'S'), ('N', 'S', 'T'), ('S', 'T', 'P'), ('T', 'P', 'L'), ('P', 'L', 'S')]"
sampurna jagran,SMPRNJKRN,,"[('S', 'M', 'P'), ('M', 'P', 'R'), ('P', 'R', 'N'), ('R', 'N', 'J'), ('N', 'J', 'K'), ('J', 'K', 'R'), ('K', 'R', 'N')]",[]
dainik jagran,TNKJKRN,,"[('T', 'N', 'K'), ('N', 'K', 'J'), ('K', 'J', 'K'), ('J', 'K', 'R'), ('K', 'R', 'N')]",[]
vishwa jagran,FXJKRN,,"[('F', 'X', 'J'), ('X', 'J', 'K'), ('J', 'K', 'R'), ('K', 'R', 'N')]",[]
kishan jagran,KXNJKRN,,"[('K', 'X', 'N'), ('X', 'N', 'J'), ('N', 'J', 'K'), ('J', 'K', 'R'), ('K', 'R', 'N')]",[]
dev jagran news,TFJKRNNS,,"[('T', 'F', 'J'), ('F', 'J', 'K'), ('J', 'K', 'R'), ('K', 'R', 'N'), ('R', 'N', 'N'), ('N', 'N', 'S')]",[]
dainik jagran rashtriya sanskaran,TNKJKRNRXTRSNSKRN,,"[('T', 'N', 'K'), ('N', 'K', 'J'), ('K', 'J', 'K'), ('J', 'K', 'R'), ('K', 'R', 'N'), ('R', 'N', 'R'), ('N', 'R', 'X'), ('R', 'X', 'T'), ('X', 'T', 'R'), ('T', 'R', 'S'), ('R', 'S', 'N'), ('S', 'N', 'S'), ('N', 'S', 'K'), ('S', 'K', 'R'), ('K', 'R', 'N')]",[]
jan jagran,JNJKRN,ANJKRN,"[('J', 'N', 'J'), ('N', 'J', 'K'), ('J', 'K', 'R'), ('K', 'R', 'N')]","[('A', 'N', 'J'), ('N', 'J', 'K'), ('J', 'K', 'R'), ('K', 'R', 'N')]"
vidya jagran,FTJKRN,,"[('F', 'T', 'J'), ('T', 'J', 'K'), ('J', 'K', 'R'), ('K', 'R', 'N')]",[]
janhit jagran,JNTJKRN,ANTJKRN,"[('J', 'N', 'T'), ('N', 'T', 'J'), ('T', 'J', 'K'), ('J', 'K', 'R'), ('K', 'R', 'N')]","[('A', 'N', 'T'), ('N', 'T', 'J'), ('T', 'J', 'K'), ('J', 'K', 'R'), ('K', 'R', 'N')]"
uttrakhand jagran,ATRKNTJKRN,,"[('A', 'T', 'R'), ('T', 'R', 'K'), ('R', 'K', 'N'), ('K', 'N', 'T'), ('N', 'T', 'J'), ('T', 'J', 'K'), ('J', 'K', 'R'), ('K', 'R', 'N')]",[]
jagran uday,JKRNT,AKRNT,"[('J', 'K', 'R'), ('K', 'R', 'N'), ('R', 'N', 'T')]","[('A', 'K', 'R'), ('K', 'R', 'N'), ('R', 'N', 'T')]"
sahakar jagran,SHKRJKRN,,"[('S', 'H', 'K'), ('H', 'K', 'R'), ('K', 'R', 'J'), ('R', 'J', 'K'), ('J', 'K', 'R'), ('K', 'R', 'N')]",[]
krishi jagran,KRXJKRN,,"[('K', 'R', 'X'), ('R', 'X', 'J'), ('X', 'J', 'K'), ('J', 'K', 'R'), ('K', 'R', 'N')]",[]
m.a.c. krishi jagran,MMKKKRXJKRN,,"[('M', 'M', 'K'), ('M', 'K', 'K'), ('K', 'K', 'K'), ('K', 'K', 'R'), ('K', 'R', 'X'), ('R', 'X', 'J'), ('X', 'J', 'K'), ('J', 'K', 'R'), ('K', 'R', 'N')]",[]
jagran sakhi,JKRNSK,AKRNSK,"[('J', 'K', 'R'), ('K', 'R', 'N'), ('R', 'N', 'S'), ('N', 'S', 'K')]","[('A', 'K', 'R'), ('K', 'R', 'N'), ('R', 'N', 'S'), ('N', 'S', 'K')]"
jat jagran,JTJKRN,ATJKRN,"[('J', 'T', 'J'), ('T', 'J', 'K'), ('J', 'K', 'R'), ('K', 'R', 'N')]","[('A', 'T', 'J'), ('T', 'J', 'K'), ('J', 'K', 'R'), ('K', 'R', 'N')]"
bharat jagran,PRTJKRN,,"[('P', 'R', 'T'), ('R', 'T', 'J'), ('T', 'J', 'K'), ('J', 'K', 'R'), ('K', 'R', 'N')]",[]
gurjar jagran,KRJRJKRN,,"[('K', 'R', 'J'), ('R', 'J', 'R'), ('J', 'R', 'J'), ('R', 'J', 'K'), ('J', 'K', 'R'), ('K', 'R', 'N')]",[]
